summary,city,state,date_time,shape,duration,text,city_latitude,city_longitude
"Flying object with fiery tail.  Some kind of explosion with a large gas emission, very colorful.  ((anonymous report))",Chatsworth,CA,2017-10-09 05:45:00,unknown,1 minute,"Flying object with fiery tail.  Some kind of explosion with a large gas emission, very colorful ((NUFORC Note:  Witness elects to remain totally anonymous provides no contact information.  PD))",34.2547857594939,-118.588060917722
Multiple lights flying in “I” formation.  ((NUFORC Note:  Cluster of Starlink satellites??  PD)),Chatsworth,CA,2019-11-11 18:30:00,formation,10 seconds,"Multiple lights flying in “I” formation. 6 to 8 individual lights flying in a close “i” formation.  Solid light emission, no FAA warning lights noticed.",34.2547857594939,-118.588060917722
Straight line of UFOs moving West to East over Chatsworth CA,Chatsworth,CA,2020-12-02 18:05:00,formation,5 minutes,"Straight line of UFOs moving West to East over Chatsworth CA We witnessed 8 lights flying in a straight line/formation from west to east over Chatsworth CA. The lights were “white”, could have been mistaken for stars, satellites or commercial aircraft, except that they were moving together, exact same speed, and maintained spacing. Cassiopeia was the most distinct constellation in our view. They appeared to move toward Cassiopeia, west to east, then disappear in a coordinated manner upon reaching it. After they were gone, there were 2 “Free moving” lights — one which crossed through Cassiopeia from North to South, and another which was east of the constellation, yet also moving north to south.",34.2547857594939,-118.588060917722
Light approaches at high rate of speed and makes a ninety degree turn.,Chatsworth,CA,1984-10-01 20:00:00,light,45 seconds,"Light approaches at high rate of speed and makes a ninety degree turn. I’m not at all sure of the date because I’m relaying this account some 20 years after the fact.   My husband and I were returning home one evening, the moon was full but it was only a blurred light behind a low(?), thin cloud cover.    We were walking to the front door when I saw a small, round, whitish light in the sky approaching from the west at a high rate of speed.  It was impossible to tell the relative size of the object or its altitude.   At first I thought there must have been a test from Lom Poc as they did launch many test missiles from this location throughout the time I lived in the west valley and they often caused some very strange displays in the sky.  But as this light approached our position leaving no contrails, it suddenly made a 90 degree turn, shot straight up through the clouds and rapidly ascended out of view.   The cloud cover parted in its wake in a perfect circle which continued to expand like a smoke ring.   I wasn’t quite sure if I had actually seen what I saw.  My mouth dropped open and I turned to my husband as we both spoke at the exact same instant:  Did you see that?   Neither of us could explain what we had just witnessed. I’ve told this story to a few people over the years when the subject of UFO’s would come up in casual conversation and to this day it gives me chills yet I can tell my listeners want to dismiss my story as just that a story.  The overactive imaginings of youth.  I have never claimed the object was extraterrestrial however I always do remind them that UFO only means the object was unidentified and flying.   I am still a practicing skeptic, but I just don’t have any rational explanation for what we saw that evening and as of yet no one else has either. ((NUFORC Note:  Witness indicates that the date of the incident is approximate.  PD))",34.2547857594939,-118.588060917722
"SMALL GREEN DOT,QUITE HIGH ALTITUDE,TRAVELING NORTH TO SOUTH AT EXTREMLY HIGH SPEED.WAS NOT METEOR OR SHTNG.STAR.IT JUST FLEW OVER THE ",Chatsworth,CA,1999-01-07 18:20:00,light,3 SECONDS,"SMALL GREEN DOT,QUITE HIGH ALTITUDE,TRAVELING NORTH TO SOUTH AT EXTREMLY HIGH SPEED.WAS NOT METEOR OR SHTNG.STAR.IT JUST FLEW OVER THE HORIZON AND DISAPEARED.I,VE SEEN SATELITES & MUIR SPACE STATION GO OVERHEAD,BUT THEY MOVED MUCH,MUCH SLOWER THAN THIS OBJECT.I WAS WALKING MY DOG AFTER DINNER AND IT HAPPENED SO FAST I JUST SAID WHOA.THIS IS NO HOAX OR JOKE, BUT WHAT CAN YOU SAY WHEN IT HAPPENED SO FAST,BUT IM POSITIVE THAT IT WASN,T ANY NORMAL CRAFT,IF IT WAS A CRAFT,AND IT ABSOLUTELY WAS NOT A SEARCHLITE,IT WENT NORTH TO SOUTH OVER THE HORIZON IN A MATTER OF A COUPLE SECONDS....THAT,S IT!!! I,M A OFFICE WORKER IN A FAMILY BUSINESS W/ 2 KIDS AND A RESIDENT OF THIS LOCALE FOR 20 YEARS, AND NOT GIVEN TO FLIGHTS OF FANCY AND AM FAMILIAR W/ MOST AIRCRAFT AS WE ATTEND AIR SHOWS EVERY NOW & THEN.",34.2547857594939,-118.588060917722
Bright star like object with red flashing lights,Chatsworth,CA,2013-07-13 01:30:00,light,15 minutes,"Bright star like object with red flashing lights It was 1:30 am last night when i let my dog out in the backyard.  I looked up to the west and saw a bright light about as big as the biggest star in the sky.  i would say that the object was anywhere from 15-20 thousand feet in the sky.  The object was bright like a star with red lights flashing around it.  After watching the object for about 10 minutes i went back into the house and got my sister to come outside to witness what i was seeing.   When we came back outside, the object was about 2000 feet lower than when i first saw it.  As we both watched the light slowly get farther away until it disapered behind the neighboring mountains to the west.",34.2547857594939,-118.588060917722
"Solid light in a boomerang shape slowly moves across Chatsworth, CA sky.",Chatsworth,CA,2008-06-20 01:00:00,changing,5 minutes,"Solid light in a boomerang shape slowly moves across Chatsworth, CA sky. I was heading West on the 118 Freeway passing through Chatsworth, CA when a bright light caught my attention in the right corner of my peripheral vision. This light was in the shape of a boomerang. It was not a cluster of lights, but one solid light in the shape of a boomerang. The light was a bright yellow. At the tail ends of the boomerang shape the light faded out. It was slowing moving south. The object was moving so slow and so smooth at first I could not tell if it was actually moving or not. However it kept on traveling and soon was crossing over the highway. Then the object changed shape into a small dot. It looked just like a star, yet kept on moving. Then the object changed back to the boomerang shaped and kept on moving south, very slowly and smoothly, unlike any plane or helicopter I have ever seen. The the object/light, still in direct line of sight slowly faded out. It was NOT as if the object got smaller and smaller until you could not see if because it was getting farther. It never changed size, but the light slowly faded out. There was another car in front of me on the freeway, and we were both originally doing about 80 mph, yet we both slowed down to about 50. I am certain the car in front of me saw it also.",34.2547857594939,-118.588060917722
"BIG, black traingle shape with red lights at each point, quietly & slowly flew above/by me in LA area '92/'93",Chatsworth,CA,1993-03-15 20:00:00,triangle,45 seconds,"BIG, black traingle shape with red lights at each point, quietly & slowly flew above/by me in LA area '92/'93 It was either early 1992 or early 1993 in Los Angeles area (Chatsworth), CA. around 8:00PM PST I was standing outside of my friends house, in the back yard, smoking a cigarette. As I was looking up to the sky I noticed a BIG, black object in the shape on a V or a triangle. It was big enough to block out most of the sky above me(I guess it was a low in the sky, but I can't say exactly how high). It had red lights at each point It was quiet, almost like a soft swoosh sound and it was going slow. Slower than a regular airplane. It almost seemed to hover, but it slowly made its way across the sky and past the trees. It just kept moving until I could no longer see it.  I havent repoted it until now, because I've been seeing all these reports of UFO's that are ALL similar to the one I saw in the LA area about 15 years ago. But I've never heard of someone seeing something in LA just in Phoenix, Illinois and Mexico.  I'm just writing down what I KNOW I saw.  It was a long time ago, but I can still see it clearly in my mind.  Are there any other reports of a UFO in LA during that time period? Thats what I'd like to know, because I DON'T think I was the only one to see it.  I am a male, 36 years old as of 2-2-2008. I noticed the UFO right before we left to a show/gig where my band was playing at the time. (I was about 22 or 23 years old) I own my own business and have no history of seeing UFO's. I also have a wife and child. I am NOT crazy. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",34.2547857594939,-118.588060917722
"5:40 a.m. 8/9/06  HugeTriangular Craft Seen flying over  Chatsworth, Ca",Chatsworth,CA,2006-08-09 05:00:00,triangle,15 minutes,"5:40 a.m. 8/9/06  HugeTriangular Craft Seen flying over  Chatsworth, Ca Hello,  This first sighting of this triangular craft,was on 8/9/06. The time was 5:40 a.m. I looked out my bedroom window, that looks out to the East, and saw a huge bright yellow light, that was hanging in the sky.  The light wasen't moving,so I grabbed my digital camera, that also takes videos. My bedroom, is on the second floor, so I could see this bright yellow light very well.  The distance was very hard to determine,I put it just in front of the mountains.  I don't have a tripod,so as you know, it's very hard to capture something in the night sky.  The craft started moving, and I said to myself come this way.  I was surprised, it did come my way, straight towards me,  that's when I started to video this bright light.  The digital camera I have, doesn't give me the greatest quality, but, as  you can see, there is something there in this video. As I videoed this craft flying towards me, I took the camera away from my eye, to see just how far away this craft was,I was shocked to see it was almost to my house.  This story sounds hard to believe, but, it's definitely is the truth. I'm sorry I had the screen on the bathroom window, because, when I took the pictures of this craft, flying over my head, the flash on the camera was set on automatic, so it went off, and it left me with a picture of the screen,and the reflection of the flash.  But, I did manage to get a good picture of it, from my bedroom window, which also shows smaller white objects attached to it.  The video is also empressing.  This craft was silent, except for a very low rumbling, or roaring sound., and the size had to be at least 100 feet in lenght,and at least 150 to 200 feet wide across the back.  It was pitch black,so it does make the size hard to determine.  If anything, it might have been larger.  When this FANTASTIC craft, flew over my house and yard, I saw that the tip of this craft, came to a sharp point, and, was not rounded. There were large circular lights on the bottom, that started from just behind the nose, then ran horizontally, across the bottom.  There were 3 or 4 rows of these circular lights. The colour of the lights were of a dim off white, with a tinge of yellow.  There was also, a tiny green light,thatI noticed just off to the right side of the craft,but it didn't look like it was attached to it. There appeared to be a black void between the craft, and this small green light.  The lights didn't reflect off the bottom,they looked like they might have been recessed,and I could see what appeared to be something, that looked like grill work, or something, that looked like that over the lights. This huge craft crossed the street, and headed West,and as slow as it was traveling, which I failed to mention,was about 25 to 30 miles per hr. IMAGINE THAT? What was also incredible, was how it banked to the left to go South, without slowing down, or speeding up.  It was as if it pivoted on the left tip, and came round,so that the front of the craft moved to the South. It continued to fly South, over the top of the high hill, across the street from me. I lost sight of it, as it past behind a tall tree that is in my yard, but I could still see the lights that showen through that tree, as it continued traveling South, until it was completley out of my sight.  If you are interested in seeing the picture, and the video, you may contact me.  SIGHTING:  Chatsworth, Ca  Thank You,  ((name deleted))",34.2547857594939,-118.588060917722
Bright yellow object flying from the east towards me.  appeared triangular in it's shape,Chatsworth,CA,2006-08-23 05:00:00,triangle,5 minutes,"Bright yellow object flying from the east towards me.  appeared triangular in it's shape On the morning of 8/23/06 at 5:45 a.m. I looked out my bedroom window and observed a very bright yellow light to the East.  I have seen this craft 2 weeks earlier, and took a few photos and video of it.  I tried to take the best photos possible, but trying to keep the camera still without having a tripod is difficult.  In the picture you can make out what appears to be a triangular shaped craft.  At the nose of the craft, you can see a light, and at the tip of the wings there are also lights. The shape is very much there.  The light tracers are very hard to stop because i have no tripod. The camera i'm using is only a dig camera, and not an expensive one.  I also took videos.  I will send you these photos also.",34.2547857594939,-118.588060917722
One night I looked up and saw one star slowly move into another. 3 days later I saw a 15 foot wide orange circle.,Chatsworth,CA,1978-01-09 03:30:00,circle,3 minutes,"One night I looked up and saw one star slowly move into another. 3 days later I saw a 15 foot wide orange circle. I was eight years old. I remember because my sister was an infant and she is eight years younger, born 11/01/77. I must admit that I saw Star Wars but there were aspects that I only came to understand many (14) years later. My Mother, Sister and I lived in one large room of a guest house on a ranch near Topanga Canyon Blvd. and Chatsworth Blvd. in the San Fernando Valley, California. For a few days prior to the sighting I would walk outside on the ranch. I would look into the sky and say to myself I know they're coming, I know they're coming... over and over again. After a few days of this I looked straight up into the stars and was only moderately surprised to see one very bright (like Venus) star slowly move toward another that was about 3-5 degrees of arc away from the first. When the first star reached the other star the moving one simply dissapeared into the other. Three nights later I awoke in bed and was drawn to look for where the bright orange light was comming from. I sat up in bed to see about a 15 foot wide circle or sphere of orange light moving slowly from left to right behind some big eucalyptus trees which were on the far side of a horse corral. The object was less than 100 feet away. I could see a, possibly, solid core with a glowing corona around the edge. I thought I should yell for my Mother who was only 20 feet away and in the same room as I. I did not yell instead I had a very strong urge to grab the 110 Kodak Instamatic camera on my window sill. My next thought was No, I don't want to scare 'them' away. As the light slowly moved down and to the right, behind some large bushes, I yelled Mother!!! U.F.O. She sat up in bed just in time to see the light but not the 'craft.' The next day, at school, I told my friends. They asked me to draw pictures. I drew pictures of the 'craft' changing shape, moving toward me and prepairing to land. I told my friends that I then yelled for my Mother and 'it' flew away. The reason I mention about my 'lying' about what I saw was that 14 years later I went to a hypnotist. I was not seeing the hypnotist for any reason at all related to the U.F.O. In the hypnosis session I began to see my childhood drawings in photographic form. I was not in deep hypnosis so I clearly remember the images, much to my surprise. Only later in life did I learn how children sometimes tend to draw their suppressed memories. I have done very little more significant investigation into my sighting. The date of the sighting IS APPROXIMATE but it 'feels' very accurate. The true reason I picked that date is the 1/9/78 4:30 AM Thousand Oaks sighting listed in this same list. Thousand Oaks is only about 15 miles from Chatsworth. I strongly feel that we may have both seen the same craft. I do know that the year is correct and that the day of month is approximate.",34.2547857594939,-118.588060917722
light seemed to turn off like one was turning off a flashlight,Chatsworth,CA,2001-07-28 05:00:00,circle,5 to 8 min,"light seemed to turn off like one was turning off a flashlight At about 5:00 Am I went outside to take the dog for his morning business. I looked up and saw a very bright light.  I have no idea how high it was, but I can say that it was directly overhead.  It had no tail, did not move, and made no sound.  Within a few minutes the light faded out as if someone turned off a falshlight.  I am not saying it was a u.f.o. since I have no witnesses nor did I observe anything unusual accept that the light disappered very rapidly.  I want to know if anyone else saw this phenonomen or is thier any explanation for the event?",34.2547857594939,-118.588060917722
ORANGE GLOWING ROUND LIGHTS IN SAN FERNANDO NIGHT SKY,Chatsworth,CA,2014-04-27 21:30:00,circle,2 minutes,"ORANGE GLOWING ROUND LIGHTS IN SAN FERNANDO NIGHT SKY. Traveling northbound, witnessed 6  glowing orange round lights in the sky. Brighter than any star in the sky.   At first i thought they were helicopters but there was no sound at all. They seemed to be moving at a rather fast pace. Seemed to be a very small trail behind them.  They started to disappear and fade away one at a time, until the very last one stayed for about a minute, then faded out.",34.2547857594939,-118.588060917722
very large bright twinkling stationary light .  Stayed for 20 minuets.,Chatsworth,CA,2006-08-24 05:00:00,sphere,20 minuets,"very large bright twinkling stationary light .  Stayed for 20 minuets. At 5:45a.m. on 08/24/06, i looked out of my bedroom window, that faces East.I observed a large glowing light in the sky, more twinkling then glowing, but bright, very large.  I went out to my backyard to get a better look, and to take my camera in case it was something i couldn't identify.  The object did not move.  I took many pictures and videos of it. When i put the pictures on my computer to view, the object seemed like a clump of spheres together.  Some pictures showed the object as one sphere.",34.2547857594939,-118.588060917722
"South eastern sky at about 50-75 degrees above the horizon. 3 Lined up. 3 Orange and green and then went dark, but still could see the",Chatsworth,CA,2014-04-27 20:45:00,chevron,9-15 seconds,"South eastern sky at about 50-75 degrees above the horizon.  3 Lined up.  3 Orange and green and then went dark, but still could see the craft in the night sky.  Traveled in a north westerly direction.  One was already dark at about 30-40 degrees above horizon traveling east-south east.  They all stopped glowing.",34.2547857594939,-118.588060917722
Moon size fireball flies over the San Fernando Valley Oct. 1995,Chatsworth,CA,1995-10-15 23:30:00,fireball,5 sec,"Moon size fireball flies over the San Fernando Valley Oct. 1995 location: http://www.google.com/maps?f=q&hl=en&q=chatsworth,+ca&ie=UTF8&z=10&ll=34.254946,-118.490295&spn=0.465383,1.384277&om=1  It was moving fast from east to west from Big Bear Mtn. toward the Chatsworth Hills across the San Fernando Valley. It seemed low and the arch of the path seemed flat as it passed over Stoney Point. It was a blue green orange red fire ball with a long blue/green sparkling tail. The ball was the size of a full moon. I thought it was going to hit the Santa Susana Mtns. where the Rocketdyne/Boeing test site is located. It was bright enough to reflect off the pavement of the 118 Freeway and the hood of my car as I traveled at 65-70 mph. I heard nothing over the sound of my tires on the road. Maybe related to this, I got a rash all over my body two days later and had to see a doctor. ((NUFORC Note:  Witness indicates that the date of the event is approximate.  PD))",34.2547857594939,-118.588060917722
large saucer,Lee Vining,CA,1979-08-14 01:30:00,disk,2.min,"large saucer This has haunted me for 22 years. My girl friend and I where traveling to to go gamble at Lake tahoe, we where 4-5 miles past Mono Lake on 395, when I looked to the rigth of the road there was an object hovering it was much larger than a 747, it was a clear night, and you could make out a sphere shape with blue and orange lights Bebbie put her glasses on and freaked a little. We where terrified, we watched the object for 30 seconds, then it was gone but we had traveled 15 miles and where on the top of the pass, we where both very confused. Three months later my girl friend got extremely ill unknown virus  she was treated for incepholitius, but the bone marrow showed an unknown virus.  She now has extreme vertigo. We both have no explanation for the missing time. We where going to report in to the air force but thought it was better not to. ((NUFORC Note:  Date may be approximate.  PD))",37.989,-119.1234
Plasmic bluish white orb of light east of  Mono Lake.,Lee Vining,CA,2005-11-23 21:00:00,light,2.5 hours,"Plasmic bluish white orb of light east of  Mono Lake The night was cold, moonless and clear. I was northeast of Lee Vining and while star gazing with a telescope I noticed a brillant light sitting on the ground appox 3 miles away near the east shore of Mono Lake. It rose straight off the ground and began making slow circles in the sky. Absolutely silent. At one point it passed over a mountain ridge to the east and lit up the entire ridge line so that every detail of the terrain could be seen. I later checked a topo map and this ridge was almost 12 miles away. It was so brillant that I noticed that when it came within 3 miles of me that my body casted a shadow on the ground. I also had a pair of binoculars but the orb of light was just a bluish white plasmic blob. At no time did I ever see the red and green running lights that would readily identify it as an aircraft.  At one point it was joined by a much smaller and dimmer orb of light. Through a pair of binoculars this orb also had no red or green running lights and made no sounds. They circled each other and made severl passes at each other. I eventually lost track of the smaller object and don't know what happened too it.  After about 2.5 hours the large bright orb of light landed on the ground about three miles from me. I put all my scope gear on the backseat of my car, turned off the lights, and headed slowly down a dirt road directly towards the object. When I got within two miles of it, the dirt road dipped into a dry wash that was about 1/4 of a mile wide, and when I came up the other side of the wash the object was gone. I turned of the engine and stepped into the darkness but the object was gone. The only sound were several upset packs of coyotes howling in the darkness. THEY WERE SPOOKED AND SO WAS I.  I have never reported this incident until now. I have seen a lot of strange lights in the sky after twenty years of star gazing but I could always explain them away. But this one has me baffled. At no time did I ever hear the tell tale noise of an aircraft engine. I am reporting it now because I noticed in your data of sightings that others at the same time camping near Bodie also saw the same thing but I was much closer. There had been several strong series of earthquakes in the area and I often wonder if what I observed were earthquake lights.",37.989,-119.1234
"Lighted, rectangular shape hovering over 13,400 foot Mt. Warren in the Eastern Sierra.  Prominent light was a red strobe that circled t",Lee Vining,CA,1999-02-17 20:45:00,rectangle,15 mins.,"Lighted, rectangular shape hovering over 13,400 foot Mt. Warren in the Eastern Sierra.  Prominent light was a red strobe that circled the vehicle at a high rate, with at least two additional white lights on the side of the vehicle.  At ten miles the object was barely covered by one's thumb, making it quite large, possibly 1000 feet in diameter.  Observed with 10 X 50 binoculars by two friends who called me while I was watching the Fox UFO special that was airing at the same time.  I drove out to a vantage point overlooking the Mono Basin, but the vehicle had disappeared by the time I reached the vantage point, my friends stating that it gradually faded away rather than flying away as an aircraft might do.  It's interesting to note that this area has had numerous sightings in the past, the most recent being in Dec. 1998 when a lighted object was seen over Mono Lake flying west towards Yosemite National Park. Observers are long time friends of the reporter.  Their home is situated approximately 10 miles NE of the location of the sighting.  Weather was good, partly cloudy, no moon.  Venus and Jupiter, now situated in the western sky, had already set.  Observers have seen UFOs in the past.  The area where they live is remote, near the Ca-Nv. border.  Sighting is unusual because of the size of the UFO, as described.",37.989,-119.1234
